trial,value,state,embedding_dim,num_embeddings,commitment_cost,lr,batch_size,encoder_depth,base_channels
0,0.0019864300434061116,TrialState.COMPLETE,64,128,0.5,0.001770144631148831,128,4,narrow
1,0.0009787561330615012,TrialState.COMPLETE,64,256,0.5,0.0019003481760438107,64,3,narrow
2,0.005116602222751921,TrialState.COMPLETE,64,128,1.0,0.0009139151495522614,256,4,narrow
3,0.005156055074554796,TrialState.COMPLETE,256,128,0.25,0.00011770144415072197,256,3,wide
4,0.005067042722194835,TrialState.COMPLETE,32,512,0.5,0.0002151910971652397,128,3,wide
5,0.03549729228861737,TrialState.PRUNED,64,256,0.1,0.0007706812024199098,256,3,wide
6,0.02125967941415912,TrialState.PRUNED,64,1024,0.5,0.00011833253972111224,256,4,standard
7,0.0027459089987630016,TrialState.COMPLETE,32,256,0.25,0.002526916910029581,256,3,standard
8,0.036218381467044924,TrialState.PRUNED,128,512,0.5,0.00015131936487055035,256,4,wide
9,0.03978065907243115,TrialState.PRUNED,32,256,0.5,0.0009575291456593749,256,3,narrow
10,0.011030071055197913,TrialState.PRUNED,256,1024,0.1,0.0003369239294796843,64,3,narrow
11,0.023051980594236725,TrialState.PRUNED,64,128,0.5,0.0025470066607583947,128,4,narrow
12,0.001060099259152648,TrialState.COMPLETE,64,128,1.0,0.001601806644995538,64,4,narrow
13,0.00773383275299168,TrialState.PRUNED,128,256,1.0,0.0014849752007323402,64,4,narrow
14,0.030397286896476337,TrialState.PRUNED,64,256,1.0,0.0004721747108998504,64,4,narrow
15,0.0009459561728962644,TrialState.COMPLETE,64,128,1.0,0.0014117995880983886,64,3,narrow
16,0.008158846627871861,TrialState.PRUNED,64,1024,1.0,0.0006114087152180441,64,3,standard
17,0.0012958144435483328,TrialState.COMPLETE,256,512,0.1,0.0011947325411965555,64,3,narrow
18,0.0009790557364113914,TrialState.COMPLETE,128,256,0.25,0.002692284692589685,64,3,narrow
19,0.0007470431153244714,TrialState.COMPLETE,64,128,1.0,0.0019391108740040258,64,3,standard
